"state","year","min_wage","gdp_millions","unemployment","population","rental_vacancy_rate","bachelors","homeowner_rate","manufacturing"
"OK",2002,NA,99479.2,4.6,3489.08,14,NA,69.6,159.8
"OK",2003,NA,105713.5,5.4,3504.892,12.8,NA,69.1,150.1
"OK",2004,NA,113873.8,4.7,3525.233,13.9,NA,71.1,148.8
"OK",2005,NA,125081.6,4.3,3548.597,12.6,NA,72.9,151.3
"OK",2006,NA,137436.5,3.9,3594.09,11.2,22.1,71.6,155.4
"OK",2007,NA,145752.1,4,3634.349,9.8,22.8,70.3,157.5
"OK",2008,NA,160763.7,3.6,3668.976,9,22.2,70.4,155.6
"OK",2009,NA,146633,6.6,3717.572,10.8,22.7,69.6,134.9
"OK",2010,NA,154287.4,6.5,3760.014,10.9,22.9,69.2,128.9
"OK",2011,NA,166235.8,5.6,3788.824,10.1,23.8,69.4,135.6
"OK",2012,NA,174874.4,5.1,3819.32,9.5,23.8,68.8,141.5
"OK",2013,NA,182694.7,5.1,3853.891,10.4,23.8,69.9,141.7
"OK",2014,NA,196631.6,4.3,3879.187,11.4,24.2,69.3,144.3
"OK",2015,NA,186815.6,4.3,3910.518,8.3,24.6,67.4,142.3
"OK",2016,NA,181244.4,4.7,3928.143,11.2,25.2,66.8,133.8
"OK",2017,NA,190553,4,3933.602,9.1,25.5,68.9,133.1
"OK",2018,NA,202712.5,3.3,3943.488,11.6,25.6,69.5,137.8
"OK",2019,NA,204192.5,3.1,3960.676,10,26.2,68.8,140.2
"OK",2020,NA,190063.6,6.3,3964.912,8.4,27,71,130.6
"OK",2021,NA,215336.3,4,3991.225,7.7,27.9,67,128.8
"OK",2022,NA,240534.3,3,4019.8,8.6,NA,68.5,133.2
"OR",1997,NA,100914.8,5.6,3243.254,5.4,NA,61,227
"OR",1998,NA,105146.8,5.6,3282.055,7.7,NA,63.4,228.6
"OR",1999,NA,107621.5,5.5,3316.154,7.6,NA,64.3,224.4
"OR",2000,NA,117154.6,5.2,3429.708,6.8,NA,65.3,225.1
"OR",2001,NA,116963.6,6.4,3467.937,6.8,NA,65.8,215.8
"OR",2002,NA,120665.5,7.5,3513.424,8.4,NA,66.2,201.6
"OR",2003,NA,126671.5,8,3547.376,9.9,NA,68,194.9
"OR",2004,NA,135646.8,7.3,3569.463,11.8,NA,69,199.8
"OR",2005,NA,143507.8,6.2,3613.202,8.3,NA,68.2,203.9
"OR",2006,NA,153593.1,5.4,3670.883,7.5,27.5,68.1,207.3
"OR",2007,NA,159585.2,5.2,3722.417,5.9,28.3,65.7,204.1
"OR",2008,NA,164925.4,6.3,3768.748,5.4,28.1,66.2,195.1
"OR",2009,NA,159607.3,10.8,3808.6,6.2,29.2,68.2,167.3
"OR",2010,NA,164137.2,10.7,3837.614,5.5,28.8,66.3,163.9
"OR",2011,NA,170630.9,9.6,3872.672,4,29.3,66.4,168.2
"OR",2012,NA,174611,8.8,3900.102,4.9,29.9,66.1,172
"OR",2013,NA,179527.7,7.8,3924.11,3.9,30.7,64.2,175.1
"OR",2014,NA,188120.7,6.6,3965.447,4.1,30.8,62.8,179.7
"OR",2015,NA,200659.6,5.5,4018.542,4.6,32.2,61.1,186.3
"OR",2016,NA,211305.9,4.8,4093.271,4.4,32.7,62.6,188.2
"OR",2017,NA,222601.6,4.1,4147.294,5.6,33.7,61.8,190
"OR",2018,NA,237113.7,4,4183.538,4.6,34,62,195.2
"OR",2019,NA,247233.1,3.7,4216.116,5.1,34.5,62.4,198.1
"OR",2020,NA,247966.7,7.6,4244.795,4.7,36.3,65.2,185.5
"OR",2021,NA,272190.9,5.2,4256.301,4.5,36.3,65.8,186.7
"OR",2022,NA,299125.5,4.1,4240.137,4.1,NA,64.9,193.8
"PA",1997,NA,356988,5.1,12015.888,10.1,NA,73.3,871.9
"PA",1998,NA,373748.5,4.7,12002.329,9.1,NA,73.9,874.9
"PA",1999,NA,390916.8,4.5,11994.016,10.3,NA,75.2,865.2
"PA",2000,NA,409159.9,4.2,12284.173,8.3,NA,74.7,864.9
"PA",2001,NA,427108.6,4.8,12298.97,7.3,NA,74.3,822.8
"PA",2002,NA,440971.7,5.5,12331.031,7.9,NA,74,760.7
"PA",2003,NA,460270.6,5.7,12374.658,10,NA,73.7,713.2
"PA",2004,NA,487306.1,5.4,12410.722,11.7,NA,74.9,691.4
"PA",2005,NA,511731.4,5,12449.99,10,NA,73.3,680
"PA",2006,NA,531274.1,4.7,12510.809,10.6,25.4,73.2,671
"PA",2007,NA,565831.8,4.6,12563.937,10,25.8,72.9,659.9
"PA",2008,NA,588024.6,5.4,12612.285,9.5,26.3,72.6,644.5
"PA",2009,NA,582144.8,8,12666.858,9,26.4,72.2,574.8
"PA",2010,NA,604736.8,8.2,12711.406,8.8,27.1,72.2,560.9
"PA",2011,NA,624819.7,7.7,12747.052,8.6,27,71.1,566.1
"PA",2012,NA,647925.9,7.7,12769.123,9.1,27.8,71,568.4
"PA",2013,NA,668569.1,7.1,12779.538,10,28.7,71.5,565.9
"PA",2014,NA,694142.6,5.9,12792.392,8.7,29,69.7,568.9
"PA",2015,NA,714202.9,5.4,12789.838,7.2,29.7,69.6,569.3
"PA",2016,NA,726561.9,5.3,12788.468,6.3,30.8,68.5,561.2
"PA",2017,NA,746441,5,12794.679,7.2,31.4,68.6,563.2
"PA",2018,NA,773977.4,4.4,12809.107,6.7,31.8,69.9,571.3
"PA",2019,NA,799888.8,4.3,12798.883,7.2,32.3,69.2,575.3
"PA",2020,NA,771613.2,8.9,12994.44,7.5,34,69.9,537.9
"PA",2021,NA,844496.5,6,13012.059,6.3,34.5,70.2,544.3
"PA",2022,NA,923088.8,4.4,12972.008,5.3,NA,70.7,563.9
"RI",1997,NA,28928.8,5.3,986.966,6,NA,58.7,76.2
"RI",1998,NA,30818.5,4.5,987.704,5.3,NA,59.8,74.9
"RI",1999,NA,32267.2,4.2,990.819,5.1,NA,60.6,72.2
"RI",2000,NA,34466.8,4,1050.268,5.3,NA,61.5,71.2
"RI",2001,NA,35862.8,4.4,1057.142,3.9,NA,60.1,67.8
"RI",2002,NA,37809.2,5.1,1065.995,4,NA,59.4,62.3
"RI",2003,NA,39638,5.6,1071.342,5.2,NA,59.9,58.7
"RI",2004,NA,42363.9,5.3,1074.579,6.1,NA,61.5,57
"RI",2005,NA,44374.1,5.1,1067.916,7.7,NA,63.1,54.9
"RI",2006,NA,47204.4,5.2,1063.096,7.5,29.6,64.6,52.7
"RI",2007,NA,47340.8,5.1,1057.315,9.5,29.8,64.9,50.7
"RI",2008,NA,47277.5,7.6,1055.003,8.7,30,64.5,47.9
"RI",2009,NA,47702.2,11.4,1053.646,8.4,30.5,62.9,41.8
"RI",2010,NA,49468.3,11.6,1053.994,7.1,30.2,62.8,40.4
"RI",2011,NA,50206.1,11,1053.829,7.9,31.1,63.4,40.1
"RI",2012,NA,51583,10.2,1054.893,6.8,31.4,62.1,39.6
"RI",2013,NA,53034.1,9.5,1055.56,6.1,32.4,61.5,40
"RI",2014,NA,54559.7,7.8,1056.511,6.7,30.4,61.8,40.9
"RI",2015,NA,56390.8,6,1056.886,4.4,32.7,58.9,41.1
"RI",2016,NA,57353.5,5.2,1057.816,3.7,34.1,56.3,40.4
"RI",2017,NA,58085,4.5,1056.554,3.5,33.5,56.6,40.4
"RI",2018,NA,59290.8,4,1059.338,3.2,34.4,60.7,40.4
"RI",2019,NA,61642.8,3.6,1058.158,3.9,34.8,63.8,39.9
"RI",2020,NA,60770.6,9.2,1096.345,2.6,38,64.5,37.4
"RI",2021,NA,66570.9,5.5,1096.985,2.8,36.5,62.8,39.1
"RI",2022,NA,71402.2,3.2,1093.734,4.6,NA,65.8,40.2
"SC",1997,NA,97425,4.5,3790.066,15.1,NA,74.1,338.6
"SC",1998,NA,103456.3,3.6,3839.578,16.7,NA,76.6,341.3
"SC",1999,NA,110241.7,4.1,3885.736,16.4,NA,77.1,336.3
"SC",2000,NA,115320.6,3.7,4024.223,15.5,NA,76.5,335.9
"SC",2001,NA,119478.1,5.3,4064.995,17.3,NA,76.1,312.4
"SC",2002,NA,124863.9,6.4,4107.795,15.7,NA,77.5,288.5
"SC",2003,NA,131566.5,7.2,4150.297,16.2,NA,75,274.8
"SC",2004,NA,136982,7.4,4210.921,14.7,NA,76.2,267
"SC",2005,NA,145403.6,7.3,4270.15,10,NA,73.9,259.9
"SC",2006,NA,153647.7,6.9,4357.847,10.6,22.7,74.2,251.6
"SC",2007,NA,162746.3,6.1,4444.11,10.6,23.5,74.1,249
"SC",2008,NA,163886.2,7.3,4528.996,13.4,23.7,73.9,241.4
"SC",2009,NA,161813.5,11.4,4589.872,16.2,24.3,74.4,212.8
"SC",2010,NA,165860,11.3,4635.846,13.9,24.5,74.8,206.6
"SC",2011,NA,172075.1,10.5,4672.655,11.6,24.1,74.2,214.7
"SC",2012,NA,177618.1,9,4719.027,9.7,25.1,71.5,219.2
"SC",2013,NA,185009.1,7.4,4766.469,11.2,26.1,72.4,223.2
"SC",2014,NA,194352.7,6.3,4826.858,12,26.3,72.9,228.2
"SC",2015,NA,205816.7,5.9,4896.006,8.9,26.8,67.1,233.5
"SC",2016,NA,215120.2,4.9,4963.031,8.8,27.2,68.9,235.7
"SC",2017,NA,223266.7,4.2,5027.102,10.4,28,72.8,241
"SC",2018,NA,233251.4,3.4,5091.702,11,28.3,72,249.8
"SC",2019,NA,245987.2,2.8,5157.702,10.8,29.6,72.6,257.8
"SC",2020,NA,245359.5,6,5131.848,9.7,31.7,73.6,244.4
"SC",2021,NA,269802.5,4,5193.266,8,31.5,73.2,250
"SC",2022,NA,295880.5,3.3,5282.634,7.8,NA,74.7,261.3
"SD",1997,NA,19031.4,2.9,730.855,12.6,NA,67.6,44.2
"SD",1998,NA,20228.1,2.8,730.789,9.4,NA,67.3,44
"SD",1999,NA,21078.7,2.7,733.133,10,NA,70.7,44.2
"SD",2000,NA,22743.3,2.5,755.844,7.7,NA,71.2,43.8
"SD",2001,NA,23412.1,3,757.972,8.2,NA,71.5,41
"SD",2002,NA,26322.1,3.2,760.02,9.5,NA,71.5,38.4
"SD",2003,NA,27216.1,3.5,763.729,12.8,NA,70.9,37.7
"SD",2004,NA,29271.3,3.6,770.396,11.2,NA,68.5,38.9
"SD",2005,NA,30997.4,3.6,775.493,8.8,NA,68.4,39.8
"SD",2006,NA,32364.5,3,783.033,8.3,24.8,70.6,41.6
"SD",2007,NA,35073,2.8,791.623,8.9,25,70.4,42.1
"SD",2008,NA,36603,3.1,799.124,8.5,25.1,70.4,42.7
"SD",2009,NA,36432.9,4.6,807.067,8.3,25.1,69.6,37.7
"SD",2010,NA,37852.5,4.9,816.193,9.5,26.3,70.6,36.9
"SD",2011,NA,41892.1,4.6,823.74,9.2,26.3,69.3,39.2
"SD",2012,NA,43901.5,4.1,833.859,8.9,26.3,69.2,41.2
"SD",2013,NA,45361,3.7,842.751,7.4,26.6,67.8,41.5
"SD",2014,NA,46785.4,3.3,849.67,8.3,27.8,69.2,42.3
"SD",2015,NA,48070.2,3.1,854.663,6.4,27.5,70.1,42.6
"SD",2016,NA,49151.4,3,863.693,7.3,28.9,69.4,42.2
"SD",2017,NA,50232.5,3.1,873.732,7.2,28.1,67.8,43.1
"SD",2018,NA,52299.3,2.8,879.386,7.3,29.2,69.1,44.4
"SD",2019,NA,54001.3,2.8,887.127,9.5,29.7,69.5,45
"SD",2020,NA,55681.2,4.2,887.799,9,28.4,71.4,43.2
"SD",2021,NA,61684.7,2.6,896.164,8.7,31.7,71.1,43.9
"SD",2022,NA,67570.7,2.1,909.824,5.9,NA,70.8,45.1
"TN",1997,NA,154382.1,5.3,5378.433,7.2,NA,70.2,504.6
"TN",1998,NA,167394.6,4.4,5432.679,7.4,NA,71.3,505.3
"TN",1999,NA,176281.9,4,5483.535,8.2,NA,71.9,501.1
"TN",2000,NA,182247.2,3.9,5703.719,7.1,NA,70.9,493.9
"TN",2001,NA,186441.3,4.5,5750.789,9.5,NA,69.7,451.1
"TN",2002,NA,195764.3,5.1,5795.918,10.4,NA,70.3,425.4
"TN",2003,NA,205126.4,5.5,5847.812,8.3,NA,70.8,410.2
"TN",2004,NA,219327.9,5.4,5910.809,10,NA,71.6,408.9
"TN",2005,NA,231633.5,5.5,5991.057,10.3,NA,72.4,405.9
"TN",2006,NA,243583.9,5.3,6088.766,10.5,21.7,71.3,396.9
"TN",2007,NA,248692.4,4.6,6175.727,9.2,21.8,70.2,377.7
"TN",2008,NA,254242,6.5,6247.411,12.1,22.9,71.7,358.7
"TN",2009,NA,252332.8,10.1,6306.019,12.8,23,71.1,307
"TN",2010,NA,257776,9.8,6355.518,12.5,23.1,71,297.1
"TN",2011,NA,269814.2,9.1,6400.298,12,23.6,69.3,302.6
"TN",2012,NA,286341.5,8,6455.752,11.6,24.3,67.9,311.5
"TN",2013,NA,295862.7,7.7,6496.943,8.9,24.8,66.8,316.6
"TN",2014,NA,306153.1,6.6,6544.617,8.5,25.3,66.7,323.1
"TN",2015,NA,325294,5.6,6595.354,7.5,25.7,66.5,331.2
"TN",2016,NA,336413.9,4.8,6651.277,7.4,26.1,66.4,342
"TN",2017,NA,350838.7,3.8,6714.748,7.8,27.3,67.2,346.8
"TN",2018,NA,363055.5,3.5,6778.18,8.6,27.5,68,351
"TN",2019,NA,380128.5,3.3,6830.325,10.1,28.7,68.8,355.6
"TN",2020,NA,379007.1,7.5,6925.619,8,30.7,70,335.7
"TN",2021,NA,427125.5,4.5,6968.351,7.3,30.5,67.7,349.5
"TN",2022,NA,475755.1,3.4,7051.339,7.3,NA,67.3,364.9
"TX",1997,NA,610157.3,5.4,19355.427,8.4,NA,61.5,1044.7
"TX",1998,NA,645142.6,5,19712.389,8.6,NA,62.5,1078.2
"TX",1999,NA,679870.3,4.7,20044.141,9.3,NA,62.9,1066.1
"TX",2000,NA,738677,4.4,20944.499,10.8,NA,63.8,1072
"TX",2001,NA,773375.5,5,21319.622,10.3,NA,63.9,1030
"TX",2002,NA,789817.6,6.4,21690.325,12.6,NA,63.4,952
"TX",2003,NA,833342.3,6.7,22030.931,14.1,NA,64.5,903.8
"TX",2004,NA,913444.4,6,22394.023,13.9,NA,65.5,894.4
"TX",2005,NA,995252.4,5.5,22778.123,13.6,NA,65.9,901.2
"TX",2006,NA,1103197.6,5,23359.58,13.5,24.7,66,928.7
"TX",2007,NA,1191093.1,4.4,23831.983,13.8,25.2,66,939.4
"TX",2008,NA,1244294.9,4.9,24309.039,12.3,25.3,65.5,929.3
"TX",2009,NA,1169607.7,7.5,24801.761,13,25.5,65.4,843
"TX",2010,NA,1245959.4,8.2,25241.897,13.3,25.9,65.3,817.2
"TX",2011,NA,1341334.4,8,25645.504,12.3,26.4,64.3,841.7
"TX",2012,NA,1421180.1,6.7,26084.12,10.4,26.7,64.3,870.8
"TX",2013,NA,1515195.6,6.3,26479.646,10.1,27.5,63.3,876.5
"TX",2014,NA,1579299.5,5.2,26963.092,9.5,27.8,62.2,888.1
"TX",2015,NA,1573498.4,4.5,27468.531,9.6,28.4,61.9,879.7
"TX",2016,NA,1579014.9,4.7,27914.064,9.4,28.9,61.5,847.3
"TX",2017,NA,1673234.3,4.3,28291.024,9.8,29.6,61.7,853.1
"TX",2018,NA,1809396.7,3.9,28624.564,8.9,30.3,62.7,882.4
"TX",2019,NA,1858757.8,3.5,28986.794,9.5,30.8,62.4,907.7
"TX",2020,NA,1789933.4,7.7,29232.474,8.6,33.2,66.5,870
"TX",2021,NA,2051768.6,5.7,29558.864,8.4,33.1,64.1,876.5
"TX",2022,NA,2355959.7,3.9,30029.572,7.9,NA,63.6,926.8
"UT",1997,NA,57684,3.2,2065.397,14.4,NA,72.5,126
"UT",1998,NA,62296.1,3.6,2100.562,14.6,NA,73.7,127.2
"UT",1999,NA,66019.3,3.5,2129.836,10.1,NA,74.7,126.4
"UT",2000,NA,70295.9,3.3,2244.502,7.6,NA,72.7,126
"UT",2001,NA,73057.6,4.4,2283.715,7.2,NA,72.4,122.4
"UT",2002,NA,75796.9,5.7,2324.815,6.5,NA,72.8,114.3
"UT",2003,NA,78945.4,5.6,2360.137,8.2,NA,73.4,112.7
"UT",2004,NA,86081.9,5,2401.58,8.9,NA,74.9,114.9
"UT",2005,NA,95355.1,4,2457.719,7,NA,73.9,118.6
"UT",2006,NA,106537.3,2.9,2525.507,5.7,28.6,73.5,123.6
"UT",2007,NA,114813.4,2.6,2597.746,5.5,28.7,74.9,128.4
"UT",2008,NA,117178.9,3.3,2663.029,7.4,29.1,76.2,126.2
"UT",2009,NA,113985.4,7.3,2723.421,8.3,28.5,74.1,113.3
"UT",2010,NA,118669.8,7.9,2775.413,7.2,29.3,72.5,111.4
"UT",2011,NA,125565,7.1,2814.797,6.4,29.7,71.4,113.9
"UT",2012,NA,129512.5,4.8,2854.146,7.7,30.7,71.1,117.1
"UT",2013,NA,135450.4,4.2,2898.773,6.7,31.3,70.9,119.1
"UT",2014,NA,142150.1,3.6,2938.327,8.6,31.1,70.9,120.9
"UT",2015,NA,149153.4,3.5,2983.626,5.1,31.8,69.9,124.1
"UT",2016,NA,157827.3,3.4,3044.241,5.7,32.6,71.3,126.4
"UT",2017,NA,168649.9,3.2,3103.54,6.2,34.6,71,129.9
"UT",2018,NA,184457.5,2.9,3155.153,5.4,34.9,72.2,133.7
"UT",2019,NA,196538.9,2.5,3203.383,3.8,34.8,71.9,137.6
"UT",2020,NA,202133.4,4.9,3283.785,5.3,36.9,71.7,137.1
"UT",2021,NA,225340.3,2.8,3339.113,4.4,36.8,68.8,146.6
"UT",2022,NA,248176.3,2.3,3380.8,4.5,NA,71.2,151.2
"VT",1997,NA,15454.7,3.9,588.665,3.7,NA,69.1,43.8
"VT",1998,NA,16080.7,3.5,590.579,5.7,NA,69.1,44.6
"VT",1999,NA,17176.9,3.1,593.74,3.6,NA,69.1,45.3
"VT",2000,NA,18341.1,2.8,609.618,3.8,NA,68.7,46.3
"VT",2001,NA,19323.2,3.3,612.223,6.1,NA,69.8,45.6
"VT",2002,NA,20273,3.8,615.442,3.8,NA,70.3,40.5
"VT",2003,NA,21293.2,4.4,617.858,4,NA,71.4,37.5
"VT",2004,NA,22938.2,3.7,619.92,4.7,NA,72,36.9
"VT",2005,NA,23608.6,3.5,621.215,4.4,NA,74.2,36.8
"VT",2006,NA,24331.5,3.7,622.892,3.6,32.4,74,36.2
"VT",2007,NA,24797.7,3.9,623.481,4.9,33.6,73.7,35.9
"VT",2008,NA,25999.3,4.6,624.151,3.5,32.1,72.8,35.1
"VT",2009,NA,26099.2,6.2,624.817,5.4,33.1,74.3,31.2
"VT",2010,NA,27406.6,6.3,625.886,6.1,33.6,73.6,30.6
"VT",2011,NA,28418.7,5.6,627.197,4.2,35.4,74.6,31.1
"VT",2012,NA,29241.3,4.8,626.361,4.2,35.8,73.4,31.8
"VT",2013,NA,29289.6,4.4,626.603,5.7,35.7,73,31.8
"VT",2014,NA,30099.4,4,625.693,5,34.9,73.5,31.2
"VT",2015,NA,30933.3,3.5,625.81,4.5,36.9,71.8,30.9
"VT",2016,NA,31661.2,3.1,624.366,4.5,36.4,71.3,30
"VT",2017,NA,32266.1,3,625.132,3.6,38.3,71.1,29.6
"VT",2018,NA,33066.8,2.5,624.802,4.2,38.7,71.4,29.8
"VT",2019,NA,34230.8,2.1,624.046,4.4,38.7,70.9,30.1
"VT",2020,NA,34018.6,5.7,642.893,3.3,42.1,73.1,28.2
"VT",2021,NA,37103.8,3.7,646.972,2.5,44.4,73.9,28.7
"VT",2022,NA,40617.1,2.6,647.064,3.5,NA,72.7,29.1
"VA",1997,NA,215101.7,3.7,6732.878,6.3,NA,68.4,374.8
"VA",1998,NA,231384,2.8,6789.225,8.4,NA,69.4,375.9
"VA",1999,NA,249801.1,2.7,6872.912,9,NA,71.2,367.2
"VA",2000,NA,268470.9,2.3,7105.817,7.7,NA,73.9,363.8
"VA",2001,NA,285635.9,3.3,7198.362,7.9,NA,75.1,341.4
"VA",2002,NA,295355.7,4.4,7286.873,8,NA,74.4,320.2
"VA",2003,NA,311665.7,4.3,7366.977,9,NA,75,305.1
"VA",2004,NA,332115.1,4.1,7475.575,11.4,NA,73.4,298.9
"VA",2005,NA,358069.7,3.8,7577.105,7.8,NA,71.2,296
"VA",2006,NA,376235.7,3.3,7673.725,8.3,32.7,71.1,288.3
"VA",2007,NA,391699.8,3.3,7751,9.7,33.6,71.5,278
"VA",2008,NA,404634.9,4.3,7833.496,10,33.7,70.6,265
"VA",2009,NA,410967.4,6.8,7925.937,10.3,34,69.7,239.5
"VA",2010,NA,426992.4,7.3,8024.004,10.5,34.2,68.7,230.6
"VA",2011,NA,435180.3,6.5,8102.437,9.9,35.1,67.9,231.1
"VA",2012,NA,445973.6,6,8187.456,9.5,35.5,67.8,231.6
"VA",2013,NA,457640.5,5.6,8255.861,7.3,36.1,68.1,231.2
"VA",2014,NA,465181.8,5.1,8315.43,7.4,36.7,68.7,232.3
"VA",2015,NA,483786.5,4.4,8367.303,6.6,37,67.1,234.1
"VA",2016,NA,496021.1,4,8417.651,7,38.1,66.3,233.2
"VA",2017,NA,511114.9,3.7,8471.011,6.7,38.7,67.5,234.9
"VA",2018,NA,532906.5,3,8510.92,6.5,39.3,66,240.5
"VA",2019,NA,557764.4,2.8,8556.642,7,39.6,67.6,243.5
"VA",2020,NA,556992.6,6.5,8636.471,6.5,42,70.4,234
"VA",2021,NA,604957.6,3.9,8657.365,5.4,41.8,68,237.3
"VA",2022,NA,649392.6,2.8,8683.619,4.9,NA,67.4,244.4
"WA",1997,NA,193825.9,4.9,5604.105,4.4,NA,62.9,350.4
"WA",1998,NA,209741.1,4.8,5687.832,6.2,NA,64.9,360.7
"WA",1999,NA,229797.9,4.8,5756.361,5.1,NA,64.8,343.5
"WA",2000,NA,237378.2,5.1,5910.512,4.9,NA,63.6,332
"WA",2001,NA,238418.6,6,5985.722,7.8,NA,66.4,316.3
"WA",2002,NA,245978.5,7.1,6052.349,7.6,NA,66.9,285.2
"WA",2003,NA,255370.2,7.2,6104.115,10.1,NA,65.9,267.3
"WA",2004,NA,268378.3,6.3,6178.645,9.6,NA,66,263.8
"WA",2005,NA,293676,5.6,6257.305,6.8,NA,67.6,272.8
"WA",2006,NA,314265.2,5,6370.753,6.3,30.5,66.7,286.1
"WA",2007,NA,342024.2,4.6,6461.587,4.5,30.3,66.8,293.5
"WA",2008,NA,354794.1,5.3,6562.231,5.3,30.7,66.2,291.5
"WA",2009,NA,351245,8.3,6667.426,7.4,31,65.5,265.8
"WA",2010,NA,365497.8,9.1,6743.009,7,31.1,64.4,258.5
"WA",2011,NA,379574.9,8.5,6827.479,6,31.9,64.2,269.1
"WA",2012,NA,400530.6,7.6,6898.599,5.9,31.7,63.5,280.7
"WA",2013,NA,419092.4,6.6,6966.252,4.5,32.7,62.7,287.1
"WA",2014,NA,440648,5.9,7057.531,4.9,33.1,63.6,289.2
"WA",2015,NA,466689.7,5.4,7167.287,4.6,34.2,62.6,292.3
"WA",2016,NA,487275.1,5.2,7299.961,3.8,35.1,61.6,290.3
"WA",2017,NA,519409.6,4.6,7427.951,3.5,35.5,63.6,284.2
"WA",2018,NA,564313.9,4.4,7526.793,5.1,36.7,64.9,287.7
"WA",2019,NA,595231.8,4.2,7614.024,4.1,37,63.8,293.7
"WA",2020,NA,612969.1,8.5,7724.031,3.8,38.4,64.1,271.8
"WA",2021,NA,677489.5,5.2,7740.745,4.5,39,63.4,260
"WA",2022,NA,725513.5,4.2,7785.786,4.7,NA,66.6,268.7
"WV",1997,NA,38777.5,7,1815.588,7.5,NA,74.6,76.9
"WV",1998,NA,40014.6,6.7,1811.688,9.5,NA,74.8,77.7
"WV",1999,NA,41714.3,6.5,1806.928,9.4,NA,74.8,76.9
"WV",2000,NA,42495.6,5.6,1807.021,10,NA,75.9,75.9
"WV",2001,NA,43973.3,5.4,1801.481,11,NA,76.4,72.2
"WV",2002,NA,45580.8,6.5,1805.414,11.9,NA,77.2,68.7
"WV",2003,NA,47039.9,6.6,1812.295,11.9,NA,78.1,64.5
"WV",2004,NA,49741.4,5.8,1816.438,10,NA,80.3,63
"WV",2005,NA,53492.5,5.4,1820.492,11.9,NA,81.3,62.2
"WV",2006,NA,57010,5.2,1827.912,10.8,16.5,78.4,61
"WV",2007,NA,59273.5,4.8,1834.052,9.6,17.3,77.6,59
"WV",2008,NA,62694.8,4.8,1840.31,11.4,17.1,77.8,56.5
"WV",2009,NA,63600.7,8.3,1847.775,9.5,17.3,78.7,50.5
"WV",2010,NA,65998.7,8.6,1854.265,8.2,17.5,79,49.1
"WV",2011,NA,69234.1,7.8,1856.606,7.9,18.5,78.7,49.5
"WV",2012,NA,70322.2,7.3,1857.446,8.1,18.6,75.8,49.1
"WV",2013,NA,71481.5,6.7,1854.768,10.6,18.9,76.8,48.4
"WV",2014,NA,72648.2,6.5,1850.569,9.1,19.2,75.6,47.9
"WV",2015,NA,71318.5,6.6,1843.332,8.3,19.6,74.9,47.7
"WV",2016,NA,70924.4,6.1,1832.435,8.7,20.8,74.8,46.9
"WV",2017,NA,74820.1,5.2,1818.683,8.7,20.2,75.1,46.7
"WV",2018,NA,79192.9,5.2,1805.953,7.4,21.3,74.7,47
"WV",2019,NA,79325.6,4.9,1795.263,5.8,21.1,75.6,47.1
"WV",2020,NA,76547.9,8.3,1791.42,6.5,23.1,78.2,44.5
"WV",2021,NA,85434.2,5.1,1785.526,6.5,24.1,79,45.4
"WV",2022,NA,95588.4,3.9,1775.156,8.1,NA,78.6,46.2
"WI",1997,NA,153431.7,3.5,5200.235,4.9,NA,68.3,580.7
"WI",1998,NA,162609.3,3.3,5222.124,6.4,NA,70.1,594.7
"WI",1999,NA,172224.1,3.1,5250.446,6,NA,70.9,596.3
"WI",2000,NA,180427.3,3.4,5373.999,4.7,NA,71.8,595.8
"WI",2001,NA,188163.1,4.4,5406.835,4.8,NA,72.3,562.1
"WI",2002,NA,194658.8,5.3,5445.162,6.5,NA,72.2,530.2
"WI",2003,NA,203339.2,5.6,5479.203,8.9,NA,72.8,506
"WI",2004,NA,215537.1,5,5514.026,9.1,NA,73.3,504.8
"WI",2005,NA,227297,4.7,5546.166,9,NA,71.1,507
"WI",2006,NA,237569.3,4.7,5577.655,8.2,25.1,70.2,508
"WI",2007,NA,245839.5,4.8,5610.775,7.9,25.4,70.5,503.7
"WI",2008,NA,246814.5,5,5640.996,8.8,25.7,70.4,495.4
"WI",2009,NA,247210,9,5669.264,9.1,25.7,70.4,438.9
"WI",2010,NA,256432.9,8.5,5690.538,8.6,26.3,71,433
"WI",2011,NA,266364.4,7.5,5705.84,6.6,26.5,68.5,447.4
"WI",2012,NA,277107.1,6.9,5720.825,6.3,27.1,67.5,458.2
"WI",2013,NA,284270.9,6.6,5738.012,6.3,27.7,68.5,460.1
"WI",2014,NA,295696,5.4,5753.199,4.6,28.4,67.8,467.3
"WI",2015,NA,307507.9,4.4,5762.927,5.3,28.4,66.6,470
"WI",2016,NA,314073.3,3.9,5775.17,5.3,29.5,67.7,467.7
"WI",2017,NA,318310.4,3.3,5793.147,4.8,30.4,68,470.5
"WI",2018,NA,332498.6,3,5809.319,4.6,30,67.9,479.6
"WI",2019,NA,345236.4,3.2,5824.581,4.8,31.3,66.1,483.5
"WI",2020,NA,340591.1,6.4,5896.271,4.3,31.8,67.9,459.1
"WI",2021,NA,368611.3,3.8,5880.101,4.7,32.5,68.3,467.4
"WI",2022,NA,401791.5,2.9,5892.539,4.6,NA,70,481.2
"WY",1997,NA,14654.5,4.8,480.031,8.2,NA,67.6,10.1
"WY",1998,NA,14840.2,4.8,480.045,9.8,NA,70,10.2
"WY",1999,NA,15679.7,4.7,479.602,10.3,NA,69.8,10.3
