"state","year","min_wage","gdp_millions","unemployment","population","rental_vacancy_rate","bachelors","homeowner_rate","manufacturing"
"AZ",2016,NA,313081.4,5.5,6944.767,6.8,28.9,61.9,161.9
"AZ",2017,NA,332001.8,5,7048.088,7.5,29.4,64.4,165.6
"AZ",2018,NA,351879.5,4.8,7164.228,6,29.7,65.7,171.7
"AZ",2019,NA,372393.5,4.8,7291.843,5.8,30.2,65.8,178.2
"AZ",2020,NA,382072.3,7.8,7179.943,5.5,33,68.7,177.5
"AZ",2021,NA,420026.7,5.1,7264.877,4.8,32.4,65.2,182.6
"AZ",2022,NA,458949.8,3.8,7359.197,6.2,NA,68.1,192.5
"AR",1997,NA,59846.3,5.1,2524.007,8.1,NA,66.7,240.8
"AR",1998,NA,62396.7,5.1,2538.202,13.1,NA,66.7,241.6
"AR",1999,NA,66811.3,4.5,2551.373,11.4,NA,65.6,240.7
"AR",2000,NA,68678.5,4.2,2678.588,11.4,NA,68.9,240.4
"AR",2001,NA,70616.7,4.8,2691.571,13.4,NA,71.2,226.9
"AR",2002,NA,74113.9,5.3,2705.927,10.7,NA,70.3,213.7
"AR",2003,NA,78695.1,5.8,2724.816,12.7,NA,69.6,205.9
"AR",2004,NA,85199.6,5.6,2749.686,13.5,NA,69.1,203.8
"AR",2005,NA,90887.7,5.3,2781.097,13.7,NA,69.2,201.9
"AR",2006,NA,95875.1,5.3,2821.761,13.5,18.2,70.8,199.8
"AR",2007,NA,98381.6,5.4,2848.65,11.8,19.3,69.5,190.6
"AR",2008,NA,99706.8,5.4,2874.554,13.4,18.8,68.9,183.7
"AR",2009,NA,97508.1,7.7,2896.843,13,18.9,68.5,163.7
"AR",2010,NA,101486.5,7.9,2921.998,11.4,19.5,67.9,160.3
"AR",2011,NA,105768.1,7.9,2941.038,12.6,20.3,67.6,158.9
"AR",2012,NA,108492.1,7.3,2952.876,10.6,21,66,155.4
"AR",2013,NA,113227.3,7,2960.459,13.2,20.6,65.4,152.8
"AR",2014,NA,116139.4,5.9,2968.759,14.7,21.4,65.4,154.3
"AR",2015,NA,117786.8,5,2979.732,11.3,21.8,67.1,155.2
"AR",2016,NA,119152.4,4,2991.815,11.1,22.4,67.6,154.9
"AR",2017,NA,122466.7,3.7,3003.855,11.6,23.4,65,157.4
"AR",2018,NA,127535.7,3.7,3012.161,9.9,23.3,64.7,160.7
"AR",2019,NA,131578.3,3.5,3020.985,9.6,23.3,65.3,162.3
"AR",2020,NA,133969.1,6.2,3014.195,8.4,24.9,68.8,155
"AR",2021,NA,148676.1,4.1,3028.122,7.5,25.3,66.1,157.2
"AR",2022,NA,165220.6,3.3,3045.637,10.5,NA,66.8,162.3
"CA",1997,NA,1071117,6.4,32217.708,6.5,NA,55.7,1826.9
"CA",1998,NA,1147520.4,5.9,32682.794,6,NA,56,1857.6
"CA",1999,NA,1241899.7,5.3,33145.121,5,NA,55.7,1830.7
"CA",2000,NA,1356975.4,4.9,33987.977,4.5,NA,57.1,1857.1
"CA",2001,NA,1375761.3,5.5,34479.458,4.2,NA,58.2,1782.6
"CA",2002,NA,1418429.6,6.8,34871.843,5,NA,57.7,1635
"CA",2003,NA,1497918.7,6.9,35253.159,5.4,NA,58.9,1545.2
"CA",2004,NA,1588177.4,6.2,35574.576,5.4,NA,59.7,1524.1
"CA",2005,NA,1698560.4,5.4,35827.943,6,NA,59.7,1506.5
"CA",2006,NA,1812210,4.9,36021.202,5.8,29,60.2,1492.5
"CA",2007,NA,1898902,5.3,36250.311,6.1,29.5,58.3,1468.1
"CA",2008,NA,1944695.3,7.3,36604.337,6.4,29.6,57.5,1431.1
"CA",2009,NA,1890165.9,11.5,36961.229,7.6,29.9,57,1288
"CA",2010,NA,1954092.7,12.5,37319.55,7.5,30.1,56.1,1249.3
"CA",2011,NA,2023500,11.9,37636.311,6.1,30.3,55.3,1256.2
"CA",2012,NA,2113096.4,10.5,37944.551,5.2,30.9,54.5,1262.1
"CA",2013,NA,2220389.9,9,38253.768,5.1,31,54.3,1264.4
"CA",2014,NA,2335286.5,7.6,38586.706,4.5,31.7,54.2,1282.1
"CA",2015,NA,2473555.9,6.2,38904.296,4.1,32.3,54.3,1305
"CA",2016,NA,2569634,5.5,39149.186,3.6,32.9,53.8,1311.9
"CA",2017,NA,2728743.1,4.8,39337.785,4.3,33.6,54.4,1314.6
"CA",2018,NA,2897200.7,4.3,39437.463,4.4,34.2,55.1,1326.2
"CA",2019,NA,3042694.1,4.1,39437.61,4.2,35,54.8,1329.5
"CA",2020,NA,3020173.4,10.2,39501.653,4,36.9,55.9,1268
"CA",2021,NA,3373240.7,7.3,39142.991,4.3,36.2,54.2,1282.9
"CA",2022,NA,3598102.7,4.2,39029.342,3.9,NA,55.3,1336.9
"CO",1997,NA,136898.7,3.4,3891.293,3.7,NA,64.1,185.8
"CO",1998,NA,150330,3.6,3968.967,5.3,NA,65.2,190.2
"CO",1999,NA,163763.3,3,4056.133,6.8,NA,68.1,186.3
"CO",2000,NA,180063.2,2.7,4326.921,5.4,NA,68.3,187.6
"CO",2001,NA,186695.8,3.8,4425.687,9.1,NA,68.5,177.5
"CO",2002,NA,190019,5.7,4490.406,10.5,NA,68.9,161.6
"CO",2003,NA,196126.5,6.1,4528.732,12.2,NA,71.3,151.7
"CO",2004,NA,204167.2,5.6,4575.013,12.7,NA,71.1,149.7
"CO",2005,NA,220783.7,5.1,4631.888,13.5,NA,71,148.4
"CO",2006,NA,232646.7,4.3,4720.423,10.5,34.3,70.1,147.2
"CO",2007,NA,248446.5,3.7,4803.868,10.1,35,70.2,145.2
"CO",2008,NA,258871.7,4.9,4889.73,8.3,35.6,69,142.4
"CO",2009,NA,251227.7,7.9,4972.195,10.9,35.9,68.4,128.1
"CO",2010,NA,258300.2,9.1,5047.539,7.9,36.4,68.5,124.2
"CO",2011,NA,267516.1,8.7,5121.9,7.4,36.7,65.9,128.1
"CO",2012,NA,276823.1,8,5193.66,5.8,37.5,65.3,130.9
"CO",2013,NA,292140.5,6.8,5270.774,6.8,37.8,64.4,132.8
"CO",2014,NA,309542.6,5,5352.637,4.9,38.3,65,136.6
"CO",2015,NA,320721.1,3.7,5454.328,5.3,39.2,63.6,141
"CO",2016,NA,329911.7,3.1,5543.844,4.7,39.9,62.4,142.7
"CO",2017,NA,349156.5,2.6,5617.421,5.5,41.2,63.7,144.3
"CO",2018,NA,372212.1,3.1,5697.155,3.4,41.7,64.4,147.5
"CO",2019,NA,394534.7,2.7,5758.486,4.1,42.7,64.7,150.5
"CO",2020,NA,391263.3,6.8,5784.865,4,44.2,64.9,146.8
"CO",2021,NA,436359.5,5.5,5811.297,4.5,44.4,65.9,149.2
"CO",2022,NA,484371.5,3,5839.926,4.1,NA,67.4,153.3
"CT",1997,NA,138331.8,4.7,3268.514,7.7,NA,68.1,244
"CT",1998,NA,145475.5,3.2,3272.563,9.2,NA,69.3,246.4
"CT",1999,NA,152287.5,2.5,3282.031,7.3,NA,69.1,238.7
"CT",2000,NA,165614.3,2.1,3411.777,8.6,NA,70,234.2
"CT",2001,NA,171216.6,2.9,3432.835,8,NA,71.8,225.2
"CT",2002,NA,173248.3,4.4,3458.749,4.6,NA,71.5,209.3
"CT",2003,NA,178702.2,5.5,3484.336,9.1,NA,73,198
"CT",2004,NA,195354.9,5.1,3496.094,8.4,NA,71.7,195
"CT",2005,NA,205214.6,4.8,3506.956,8.3,NA,70.5,192.7
"CT",2006,NA,219768.4,4.4,3517.46,7.9,33.7,71.1,190.8
"CT",2007,NA,234540.7,4.5,3527.27,8,34.7,70.3,187.9
"CT",2008,NA,238936.8,5.7,3545.579,8.6,35.6,70.7,184.5
"CT",2009,NA,233290.7,8.3,3561.807,8.3,35.6,70.5,168.4
"CT",2010,NA,234700,9.6,3579.173,10.7,35.5,70.8,162.8
"CT",2011,NA,233158.7,9,3588.632,9.5,36.2,70.6,163.4
"CT",2012,NA,240911.9,8.4,3595.211,7.4,37.1,68.8,161.9
"CT",2013,NA,241517.4,8,3595.792,7.7,37.2,68.5,160.3
"CT",2014,NA,246597,6.6,3595.697,5.8,38,67.4,157.3
"CT",2015,NA,259487.8,5.6,3588.561,6.3,38.3,66.5,157
"CT",2016,NA,263670.3,4.9,3579.83,7,38.6,64.2,156.5
"CT",2017,NA,271443.2,4.4,3575.324,6.8,38.7,66.1,158.7
"CT",2018,NA,279923,3.9,3574.561,6.1,39.6,65.3,160.7
"CT",2019,NA,288536.3,3.6,3566.022,5.6,39.8,64.3,161.9
"CT",2020,NA,276223.3,8,3597.362,5.6,42.4,66.9,153.9
"CT",2021,NA,298395.2,6.3,3623.355,5.1,42.1,66.1,153
"CT",2022,NA,321844.6,4.2,3626.205,3.3,NA,64.8,157.2
"DE",1997,NA,33353.4,4,735.024,8.5,NA,69.2,43.1
"DE",1998,NA,37106,3.5,744.066,11.2,NA,71,44
"DE",1999,NA,40345.1,3.3,753.538,9.9,NA,71.6,44
"DE",2000,NA,43451.3,3.6,786.373,10.6,NA,72,41.5
"DE",2001,NA,46096.1,3.6,795.699,10.5,NA,75.4,39.4
"DE",2002,NA,45508.3,4.3,806.169,8.7,NA,75.6,37.2
"DE",2003,NA,47686.1,4.5,818.003,10.5,NA,77.2,35.7
"DE",2004,NA,51353.7,4.3,830.803,11,NA,77.3,34.7
"DE",2005,NA,52153.5,4.5,845.15,11.3,NA,75.8,33.3
"DE",2006,NA,55174.4,3.9,859.268,12.2,27,76.8,33.6
"DE",2007,NA,56612.8,3.6,871.749,15,26.1,76.8,33.3
"DE",2008,NA,55459.8,5,883.874,13.4,27.5,76.2,31.8
"DE",2009,NA,57849.7,8.3,891.73,12.4,28.7,76.5,28.1
"DE",2010,NA,58163.5,8.7,899.647,9.9,27.8,74.7,26.1
"DE",2011,NA,61372.2,7.6,907.59,11.2,28.8,74.2,25.8
"DE",2012,NA,62354.6,7.1,915.518,9.3,29.5,73.4,25.8
"DE",2013,NA,61716.2,6.6,924.062,8.6,29.8,74.1,25.3
"DE",2014,NA,68354.7,5.6,933.131,7.4,30.6,74.3,25.4
"DE",2015,NA,71913.9,4.8,942.065,6.4,30.9,73.3,25.8
"DE",2016,NA,69355,4.5,949.989,8.1,31,73,26.1
"DE",2017,NA,68302.5,4.5,957.942,6.4,31.5,70,26.3
"DE",2018,NA,72168.3,3.7,966.985,7.1,31.3,70.8,27.1
"DE",2019,NA,76923.7,3.6,976.668,6.3,33.2,73.1,27.3
"DE",2020,NA,75818.6,7.5,992.114,6.1,34.7,77.9,25.5
"DE",2021,NA,81160,5.5,1004.807,3.8,35.6,73.5,25
"DE",2022,NA,87524.8,4.5,1018.396,3.5,NA,74.9,26.1
"FL",1997,NA,401535.3,4.9,14683.35,9.5,NA,66.9,486.4
"FL",1998,NA,429138.4,4.5,14908.23,8.8,NA,66.9,482.5
"FL",1999,NA,458058.9,3.9,15111.244,10.3,NA,67.6,478.5
"FL",2000,NA,490429.8,3.8,16047.515,10.8,NA,68.4,478
"FL",2001,NA,519058.6,4.4,16356.966,11.5,NA,69.2,455.2
"FL",2002,NA,553010.3,5,16689.37,10.2,NA,68.7,428.4
"FL",2003,NA,590483.1,4.5,17004.085,11.5,NA,69.5,410.2
"FL",2004,NA,646630.6,3.8,17415.318,11.7,NA,72.2,410.9
"FL",2005,NA,705851.9,2.9,17842.038,10.1,NA,72.4,416
"FL",2006,NA,750523.8,2.5,18166.99,10.7,25.3,72.4,416.9
"FL",2007,NA,782712.5,3.3,18367.842,13.7,25.8,71.8,399.7
"FL",2008,NA,763341.5,5.7,18527.305,16.9,25.8,71.1,371.9
"FL",2009,NA,735421,9.6,18652.644,17.8,25.3,70.9,324.7
"FL",2010,NA,746928.9,10.8,18846.143,15.1,25.8,69.3,310.1
"FL",2011,NA,755240,10,19055.607,14.9,25.8,69,313.5
"FL",2012,NA,778545,8.7,19302.016,13.1,26.8,67,319.1
"FL",2013,NA,811751.7,7.5,19551.678,10.3,27.2,66.1,324.5
"FL",2014,NA,851692.4,6.4,19853.88,10.1,27.3,64.9,334.2
"FL",2015,NA,908519.9,5.5,20219.111,8,28.4,64.8,345.7
"FL",2016,NA,953352.5,4.9,20627.237,8.1,28.6,64.3,357.9
"FL",2017,NA,1003144,4.3,20977.089,8.5,29.7,64.1,365.8
"FL",2018,NA,1057255.4,3.7,21254.926,8.2,30.4,65.5,375.2
"FL",2019,NA,1111392.2,3.3,21492.056,8.4,30.7,66,387.1
"FL",2020,NA,1116726.8,8.2,21589.602,7.3,33.7,68.7,378.7
"FL",2021,NA,1255558.3,4.7,21828.069,6.5,33.2,67.2,389.8
"FL",2022,NA,1389069.7,2.9,22244.823,7.2,NA,67.3,410.5
"GA",1997,NA,242540.8,4.5,7486.094,11.2,NA,70.9,550.8
"GA",1998,NA,265347.2,4.2,7636.522,12,NA,71.2,548.6
"GA",1999,NA,289187.9,3.8,7788.24,10.3,NA,71.3,545.6
"GA",2000,NA,305572,3.5,8227.303,9.7,NA,69.8,534.6
"GA",2001,NA,317475.5,4.1,8377.038,12.3,NA,70.1,501.4
"GA",2002,NA,327051.3,5.3,8508.256,14.2,NA,71.8,467.5
"GA",2003,NA,342576.2,5.1,8622.793,14.7,NA,71.4,448.3
"GA",2004,NA,364782,5.1,8769.252,16.3,NA,70.9,446.6
"GA",2005,NA,389537.7,5.7,8925.922,14.6,NA,67.9,447.9
"GA",2006,NA,406015.6,5.1,9155.813,13,26.6,68.5,445.2
"GA",2007,NA,419606.3,4.9,9349.988,13.1,27.1,67.6,429
"GA",2008,NA,416377.6,6.8,9504.843,14.5,27.5,68.2,407.1
"GA",2009,NA,409590.8,10.4,9620.846,14.3,27.5,67.4,356.2
